idx	X	Y	component
0	1000	1002.724489270333	0
1	1001.992159581855	1002.674025954596	0
2	1001.992148257386	1002.674025984878	0
3	1152.186560176383	1006.831506376399	0
4	1152.186453966744	1006.831513956021	0
5	1152.277421981235	1006.807787195764	0
6	1152.28064972049	1006.806940451986	0
7	1310.972557025536	1001.847695303389	0
8	1310.972418289548	1001.847699659348	0
9	1311.967203758968	1001.767085992769	0
10	1310.97237863655	1001.847698931982	0
11	1311.967276822709	1001.767085097671	0
12	1311.967282608939	1001.76708291798	0
13	2024.196073229645	1000.00000048451	0
14	2024.196064660682	1000.000000522223	0
15	2025.196092180892	1000.022364434093	0
16	2024.196073271821	1000	0
17	2025.196090897353	1000.022363627381	0
18	2025.196091683001	1000.022364460762	0
19	2156.099990703697	1005.987557832855	0
20	2156.099995110705	1005.987557695857	0
21	2157.09983605548	1006.014518953793	0
22	2156.09999205746	1005.987557834165	0
23	2157.099836077655	1006.014519136863	0
24	2157.099848787835	1006.014518925784	0
25	2469.160791157835	1005.285230427311	0
26	2469.160793139471	1005.285230296351	0
27	2470.160690410014	1005.310843050346	0
28	2469.16079128038	1005.285230449315	0
29	2470.160690850058	1005.310843015845	0
30	2470.160694476934	1005.310842939281	0
31	3373.315544209594	1006.744488925705	0
32	3373.315538183399	1006.74448903322	0
33	3374.313608380488	1006.805354295757	0
34	3373.315552637087	1006.744488841212	0
35	3374.313655796379	1006.805353878325	0
36	3374.313656523522	1006.80535388877	0
37	3847.491325044837	1002.261454155425	0
38	3847.491349401223	1002.261453922596	0
39	3847.58710532602	1002.261491133122	0
40	3847.590385196657	1002.261492460125	0
41	4136.118372738064	1000.066772713719	0
42	4136.118383645429	1000.066774493475	0
43	4137.102848541947	1000.237962938793	0
44	4136.118352097143	1000.066779116714	0
45	4137.102847090739	1000.237960834883	0
46	4137.102854254274	1000.237962897654	0
47	4289.060453051836	1001.231586693471	0
48	4289.060387820529	1001.23158573726	0
49	4290.057901038979	1001.162065310774	0
50	4289.060436119984	1001.23158671026	0
51	4290.057907582657	1001.162065224949	0
52	4290.057907581657	1001.162065224942	0
53	4513.039815290149	1001.75135050425	0
54	4513.039814673066	1001.751350502829	0
55	4514.033809342551	1001.860659544685	0
56	4513.039806954707	1001.751350628568	0
57	4514.033800164822	1001.860659377777	0
58	4514.033809211371	1001.860659544356	0
59	5511.007385849101	1005.499436085196	0
60	5511.00738584811	1005.499436085314	0
61	5512.959408401504	1005.932426143705	0
