idx	X	Y	component
0	1000	1004.400536994835	0
1	1177.755192688899	1014.563352628901	0
2	1177.755191795686	1014.563352333219	0
3	1178.70476396522	1014.877794695368	0
4	1177.755192948537	1014.56335259884	0
5	1178.704754411583	1014.877796093238	0
6	1178.704755522766	1014.877796111449	0
7	1268.759452421675	1014.808850472232	0
8	1268.759446499171	1014.808850476102	0
9	1269.713819259313	1015.109916663887	0
10	1268.759437390123	1014.80884824224	0
11	1269.713800175628	1015.109920523305	0
12	1269.713814867906	1015.109915135203	0
13	2232.113712224187	1007.93884967033	0
14	2232.113726307387	1007.938848686063	0
15	2233.042770764561	1008.311327269749	0
16	2232.113698043259	1007.93884240599	0
17	2233.042871835831	1008.311329454948	0
18	2233.04277861936	1008.311328888569	0
19	2319.046830123029	1012.561948185537	0
20	2319.046830124028	1012.561948185585	0
21	2320.018807309919	1012.320643742904	0
22	2319.046830021246	1012.561953749745	0
23	2320.01866485863	1012.32063982611	0
24	2320.018809546342	1012.32064387915	0
25	2495.266476586075	1008.187656271012	0
26	2495.266482237651	1008.187656137677	0
27	2496.252192975457	1008.366584194363	0
28	2495.266468686558	1008.187617998184	0
29	2496.252110134242	1008.366585830139	0
30	2496.252200233222	1008.366585403352	0
31	2636.491084221078	1013.393164101226	0
32	2636.491100920025	1013.393163913902	0
33	2637.479009461508	1013.568342219771	0
34	2636.490939823257	1013.393161960973	0
35	2637.478868580623	1013.568357802199	0
36	2637.479000738088	1013.56834270583	0
37	3198.506817501039	1019.576915556708	0
38	3198.506821063683	1019.576912147711	0
39	3199.511191667693	1019.640528107473	0
40	3198.50634894324	1019.576962798645	0
41	3199.511159112543	1019.640566636154	0
42	3199.511191635444	1019.640559108683	0
43	3258.62965525047	1013.903546950216	0
44	3258.62957252936	1013.903565492432	0
45	3259.632462423789	1013.831519992086	0
46	3258.629362179903	1013.903598901156	0
47	3259.633530454186	1013.831378385147	0
48	3259.633562818102	1013.831371123799	0
49	3325.69353781031	1003.57093456162	0
50	3325.690625884149	1003.571063470329	0
51	3349.858178568529	1000.403011667465	0
52	3325.693911261535	1003.570859865735	0
53	3349.869890500615	1000.402531569635	0
54	3349.867494193807	1000.402597768922	0
55	3353.087151748019	1000.026229561126	0
56	3353.034319041482	1000.023992663704	0
57	3354.390559589188	1000	0
58	3353.087146179165	1000.02628855601	0
59	3354.36583538577	1000.002533505256	0
60	3354.36984818763	1000.002042190451	0
61	3357.565860953888	1000.178330295373	0
62	3357.562738397802	1000.178418167454	0
63	3358.570679287642	1000.364031918977	0
64	3357.565664460071	1000.178285679124	0
65	3358.57285353937	1000.36406083602	0
66	3358.571063241428	1000.364067599692	0
67	3359.549342748551	1000.641070863595	0
68	3359.551209425721	1000.641429745883	0
69	3360.539140354862	1000.859113014455	0
70	3359.549378043782	1000.641121906359	0
71	3360.536568294415	1000.85889453867	0
72	3360.538042766742	1000.858677569277	0
73	3580.382470867415	1020.402666899389	0
74	3580.382298872553	1020.402657270478	0
75	3581.375599501003	1020.547118072879	0
76	3580.382625331138	1020.402681062986	0
77	3581.375650095046	1020.547113338169	0
78	3581.375686894985	1020.547112876396	0
79	4347.772502799921	1013.832447280127	0
80	4347.772633894469	1013.832461565825	0
81	4348.645627832419	1013.343082461039	0
82	4347.772579976889	1013.832454525238	0
83	4348.645612435486	1013.34308533513	0
84	4348.645637402736	1013.343085389371	0
85	5880.92543463547	1012.011786054608	0
86	5880.925517579662	1012.011804535988	0
87	5881.891812318427	1011.752023029001	0
88	5880.925414698986	1012.011786568088	0
89	5881.891740915189	1011.752026095963	0
90	5881.891734683909	1011.752027247909	0
91	6424.285977686412	1004.107012798308	0
92	6424.279720260873	1004.106863609643	0
93	6424.368865483368	1004.109245794642	0
94	6424.368861254041	1004.109245892249	0
95	7355.141188860624	1008.801926011059	0
96	7355.141248571776	1008.801929304734	0
97	7356.102052083018	1008.524015212771	0
98	7355.141187022235	1008.801926196874	0
99	7356.1020066521	1008.524018915457	0
100	7356.102013058985	1008.524018976513	0
101	7449.718009957867	1017.623081216766	0
