idx	X	Y	component
0	1000	1006.812688596924	0
1	1002.000354058707	1006.860410509532	0
2	1002.000354421477	1006.860410533875	0
3	1017.889416129272	1008.791411908726	0
4	1017.889414625754	1008.791411579462	0
5	1018.85958471049	1009.035472512509	0
6	1017.889413486774	1008.791411393946	0
7	1018.859585094331	1009.035472811082	0
8	1018.859584711432	1009.035472512844	0
9	1505.881533993059	1016.201475296836	0
10	1505.881534111812	1016.20147546439	0
11	1506.831398830415	1016.514823822983	0
12	1505.881529370881	1016.201475089047	0
13	1506.831392939327	1016.514824717852	0
14	1506.831400815922	1016.514824027941	0
15	1928.900945662977	1014.420012014304	0
16	1928.900941187797	1014.420012274387	0
17	1929.858138135013	1014.130064438918	0
18	1928.900936888705	1014.420013115808	0
19	1929.858137060631	1014.130063951387	0
20	1929.858137583278	1014.130064574562	0
21	2468.853150070799	1004.837745657161	0
22	2468.853149827781	1004.837745616603	0
23	2469.839704105216	1005.001675795051	0
24	2468.853147711258	1004.837745462123	0
25	2469.83970248565	1005.001675853546	0
26	2469.839703390481	1005.001675713076	0
27	3250.894392591199	1009.074524474604	0
28	3250.894395385253	1009.074524079772	0
29	3251.85867227735	1009.340152037786	0
30	3250.894392074289	1009.074524312995	0
31	3251.858670531765	1009.340152765854	0
32	3251.85867112717	1009.340152501609	0
33	3469.895537144888	1011.651666145631	0
34	3469.895537323975	1011.65166614554	0
35	3470.840266548279	1011.980169861806	0
36	3469.89557475681	1011.651661558252	0
37	3470.84026791968	1011.980170625325	0
38	3470.840270589315	1011.980169646565	0
39	4514.956160637565	1011.096524441303	0
40	4514.956161410015	1011.096523156056	0
41	4515.83784919703	1010.624059575688	0
42	4514.956170856587	1011.096527949873	0
43	4515.837851446737	1010.624058157963	0
44	4515.837851445905	1010.624058158519	0
45	4944.890359682499	1008.367621997881	0
46	4944.890359681499	1008.367621997882	0
47	4945.861147355534	1008.12748879582	0
48	4944.890344316354	1008.367623407298	0
49	4945.861137225957	1008.127486752566	0
50	4945.86114735469	1008.127488796356	0
51	5853.959860550038	1002.692991645127	0
52	5853.959852478926	1002.692992948477	0
53	5854.849294243397	1003.150677462877	0
54	5853.959854097899	1002.692992076007	0
55	5854.849281243124	1003.150679114711	0
56	5854.849292684064	1003.150676645108	0
57	6684.857957276347	1020.761194709959	0
58	6684.857951965329	1020.761194392595	0
59	6685.7799522792	1021.148886308502	0
60	6684.857951848433	1020.761194471459	0
61	6685.779934736443	1021.148886995794	0
62	6685.779945234238	1021.148885585458	0
63	8190.015213407579	1010.130084221165	0
64	8190.015188241621	1010.130085383402	0
65	8190.925248313749	1009.713766964177	0
66	8190.015263020749	1010.130092979635	0
67	8190.925270580033	1009.713763140186	0
68	8190.925266526798	1009.713765612032	0
69	8279.886619635354	1005.182414556856	0
70	8279.886624279745	1005.182414886262	0
71	8280.873226876012	1005.349456262127	0
72	8279.886597764667	1005.182412880447	0
73	8280.873183157019	1005.349455467125	0
74	8280.873162990596	1005.349454976124	0
75	8458.746310591749	1014.522645337594	0
76	8458.746307095869	1014.522645211202	0
77	8459.731307651567	1014.697961214888	0
78	8458.746255064174	1014.522640279833	0
79	8459.731325701505	1014.697960973578	0
80	8459.73131733319	1014.697961126045	0
81	9719.794456416135	1012.501382319663	0
82	9719.794289092122	1012.501404760974	0
83	9720.190048439283	1011.584711964433	0
84	9719.791909499294	1012.501509878498	0
85	9720.188937495361	1011.585034730384	0
86	9720.190744405518	1011.584624291879	0
87	9850.908557115124	1000.006251976231	0
88	9850.913661708722	1000.005894391844	0
89	9850.99748136905	1000	0
90	9850.997075737954	1000.000047306322	0
91	10385.03931325303	1017.770507983928	0
92	10385.03929790753	1017.770506411078	0
93	10385.83830863797	1018.368848201012	0
94	10385.03952200326	1017.770513791468	0
95	10385.83843818386	1018.368848359185	0
96	10385.83826847723	1018.36884820869	0
97	12171.63623035162	1008.733460505671	0
98	12171.63622947694	1008.733460617698	0
99	12172.48816902841	1008.20965882987	0
100	12171.63615999733	1008.733460377227	0
101	12172.48816973713	1008.209657054796	0
102	12172.48816902741	1008.209658829843	0
103	12809.72105129894	1023.592399547147	0
104	12809.69780792675	1023.59407914643	0
105	12809.7565533929	1023.58983182311	0
106	12809.72412071892	1023.592177376985	0
107	13610.34351705853	1010.701834011464	0
108	13610.34349815782	1010.701832187821	0
109	13611.31351730432	1010.457440063306	0
110	13610.3435299156	1010.701833914537	0
111	13611.31351313869	1010.457440916668	0
112	13611.31351695997	1010.457440069838	0
113	13641.26318513936	1008.328946649078	0
114	13641.26319082277	1008.328946527658	0
115	13642.25650868258	1008.209803501662	0
116	13641.26320982271	1008.328946053435	0
117	13642.25652395322	1008.20980284247	0
118	13642.25653070104	1008.209803016391	0
119	13801.34283357491	1008.764187562424	0
120	13801.34283135948	1008.764187496036	0
121	13802.34075114117	1008.83707011548	0
122	13801.34283061527	1008.764187827803	0
123	13802.340762612	1008.837070104961	0
124	13802.34076361555	1008.837069978851	0
125	13862.29911440444	1005.852693256369	0
126	13862.29911391579	1005.852692992466	0
127	13863.29729100177	1005.920819388535	0
128	13862.29912362046	1005.852692392717	0
129	13863.29728725218	1005.920819433958	0
130	13863.29729064798	1005.920819251368	0
131	13909.29653081852	1004.380497587041	0
132	13909.29653360989	1004.38049724719	0
133	13910.29264783506	1004.287923642719	0
134	13909.2965345765	1004.380497417272	0
135	13910.29266095242	1004.287922870553	0
136	13910.29265764631	1004.28792305676	0
137	13926.22568600456	1002.727087015776	0
138	13926.22568349552	1002.727087452613	0
139	13927.22437250931	1002.667035231983	0
140	13926.22568483205	1002.727081509902	0
141	13927.22436773589	1002.667034050196	0
142	13927.22437785101	1002.667035337546	0
143	14212.2646213278	1009.915088214814	0
144	14212.2646236437	1009.915088350029	0
145	14213.26014902924	1010.012283612667	0
146	14212.26462021301	1009.915088107818	0
147	14213.26014515335	1010.012283852751	0
148	14213.26014955531	1010.012283690216	0
149	14477.35354729394	1010.143467615328	0
150	14477.35354955343	1010.143467625687	0
151	14478.3429771447	1009.995847545501	0
152	14477.35356070189	1010.143473220872	0
153	14478.34298287719	1009.99585043294	0
154	14478.3429782931	1009.995847552373	0
155	14489.28318681257	1008.782142530235	0
156	14489.28319413525	1008.78214218834	0
157	14490.28332652462	1008.750692092418	0
158	14489.28317908359	1008.782119846555	0
159	14490.28335691503	1008.750687725749	0
160	14490.28332403589	1008.750692034427	0
161	14492.28495493108	1008.767166494066	0
162	14492.28495679956	1008.767166484957	0
163	14494.28097138273	1008.616077032107	0
164	14492.28496631611	1008.767169835876	0
165	14494.2809710416	1008.616076190915	0
166	14494.28097415223	1008.616077161476	0
167	14588.28227093111	1006.068231876776	0
168	14588.28227321006	1006.068232051082	0
169	14589.28022869821	1005.9989512889	0
170	14588.28226075901	1006.068232232971	0
171	14589.28023343697	1005.998951354428	0
172	14589.28023282705	1005.998951128278	0
173	14603.27796954205	1005.407033452758	0
174	14603.27799027567	1005.40703298968	0
175	14604.27772140829	1005.452118906571	0
176	14603.27797711752	1005.407033200481	0
177	14604.27772782897	1005.452118673094	0
178	14604.27771839957	1005.452119066564	0
179	14620.24814715996	1006.630956642798	0
180	14620.24814508871	1006.630956538931	0
181	14621.24815567708	1006.604608674892	0
182	14620.24814975072	1006.630956829587	0
183	14621.24816594114	1006.604609222715	0
184	14621.24816776329	1006.604609254479	0
185	14736.26264586661	1009.422659258744	0
186	14736.26263423484	1009.422659620705	0
187	14738.24887055338	1009.182412769578	0
188	14736.26262990345	1009.422660162378	0
189	14738.2488523162	1009.182412643962	0
190	14738.24886081602	1009.182413089687	0
191	15058.66789808141	1006.812635991109	0
192	15058.67019423487	1006.81301095629	0
193	15058.90581540823	1006.85158752051	0
194	15058.91973086519	1006.853864002791	0
195	15316.19428110842	1014.682769358975	0
196	15316.19428458637	1014.682769315017	0
197	15317.18500836762	1014.820311267871	0
198	15316.19427804832	1014.682768781435	0
199	15317.18501601586	1014.82031171728	0
200	15317.18500246245	1014.82031099476	0
201	15380.20907322918	1016.069973615915	0
202	15380.20907889591	1016.069974111481	0
203	15381.20332856619	1015.957643176446	0
204	15380.20906402137	1016.069978530906	0
205	15381.20332407017	1015.957644362016	0
206	15381.20332718994	1015.95764348589	0
207	15396.17316702394	1014.870782875649	0
