idx	X	Y	component
0	1000	1000	0
1	1454.433066703255	1048.425108222563	0
2	1454.442631474553	1048.42609464875	0
3	1454.475331021711	1048.429405951925	0
4	1454.433097834254	1048.425108620755	0
5	2255.143115481261	1059.527475343463	0
6	2255.143099687295	1059.527475230424	0
7	2256.112818504223	1059.281519590072	0
8	2255.143115390527	1059.527480461386	0
9	2256.112835713579	1059.281529206797	0
10	2256.112821146879	1059.281520208219	0
11	2285.948593702164	1055.683459330419	0
12	2285.948595561746	1055.683458859066	0
13	2286.949868212551	1055.677253738791	0
14	2285.948588357709	1055.683460662342	0
15	2286.949914086082	1055.677255044932	0
16	2286.949881396698	1055.677254913807	0
17	2445.808296688509	1067.531336494746	0
18	2445.808296689507	1067.531336494811	0
19	2446.803921005462	1067.636907106143	0
20	2445.808316338654	1067.531335760686	0
21	2446.80392302889	1067.636906482267	0
22	2446.803930516061	1067.636906827114	0
23	2506.895926350774	1069.122787825361	0
24	2506.895957131983	1069.122787875303	0
25	2507.893791283912	1069.03302292421	0
26	2506.895970895396	1069.122786724537	0
27	2507.893773497857	1069.033024044809	0
28	2507.893773498852	1069.033024044715	0
29	2553.785487195908	1064.696199575211	0
30	2553.785465620758	1064.696203663463	0
31	2554.767500858387	1064.501150477821	0
32	2553.785538473247	1064.69619775125	0
33	2554.767515509481	1064.501148451516	0
34	2554.767506288306	1064.501149618609	0
35	2570.557977423462	1061.736205011401	0
36	2570.557992401538	1061.736204308574	0
37	2571.550950763314	1061.603764298492	0
38	2570.557977424158	1061.736205010684	0
39	2571.551008792319	1061.603755479861	0
40	2571.550956702608	1061.603763754933	0
41	2856.921635189691	1054.633878271547	0
42	2856.921620071835	1054.633877221932	0
43	2857.922002790875	1054.682448690574	0
44	2856.921632791333	1054.633876985333	0
45	2857.921998238201	1054.682448691036	0
46	2857.922001739546	1054.68244884897	0
47	3122.104850247709	1068.923843301965	0
48	3122.104845540092	1068.923856229695	0
49	3123.106784767632	1068.88188177458	0
50	3122.104844794451	1068.923841546326	0
51	3123.106843914853	1068.88176831049	0
52	3123.106870015079	1068.881766277427	0
53	3133.993304493803	1067.13670936305	0
54	3133.993286928888	1067.136712599569	0
55	3134.980942151196	1066.966122321614	0
56	3133.993320528577	1067.13660671249	0
57	3134.980940300994	1066.966116627527	0
58	3134.980964097374	1066.966112880143	0
59	3136.933466294226	1066.511142942889	0
60	3136.933476959288	1066.511135088488	0
61	3138.874241433019	1066.012359094813	0
62	3136.933474406249	1066.511142064919	0
63	3138.87429644111	1066.012390573591	0
64	3138.87429668391	1066.01239057233	0
65	3232.48229237845	1055.416660717297	0
66	3232.482316276849	1055.416661646936	0
67	3233.461139640856	1055.204386327892	0
68	3232.482296678509	1055.416659174237	0
69	3233.461150816434	1055.204384610814	0
70	3233.461157808683	1055.204384124538	0
