idx	X	Y	component
0	1000	1024.476581652106	0
1	1001.572845476507	1025.722956525171	0
2	1001.572833506023	1025.723004417316	0
3	1009.459816506795	1032.097886955842	0
4	1009.459589838974	1032.097912596611	0
5	1011.09737494377	1033.295780645035	0
6	1011.09737283797	1033.295766271828	0
7	1017.721197473046	1035.747435850697	0
8	1017.72118489111	1035.747459978977	0
9	1018.61347461699	1036.209534849848	0
10	1017.721184191421	1035.747429675818	0
11	1018.613357756248	1036.209488176049	0
12	1018.61346298528	1036.209538308158	0
13	1025.246768503398	1038.596428428287	0
14	1025.246746295264	1038.596435386919	0
15	1026.201992038211	1038.917555717487	0
16	1025.247147298222	1038.596478016972	0
17	1026.202095790921	1038.917559521999	0
18	1026.201968628505	1038.917573513667	0
19	1035.060253088536	1040.930855072965	0
20	1035.060253089149	1040.930855073755	0
21	1036.0554713815	1041.092343494229	0
22	1035.060601943793	1040.930932222944	0
23	1036.055524781995	1041.092349125284	0
24	1036.055581233845	1041.092357454709	0
25	1043.947440316924	1042.823992150208	0
26	1043.947387032976	1042.823963299181	0
27	1044.939245658257	1043.025193306935	0
28	1043.94773148639	1042.823993029262	0
29	1044.939347333303	1043.025162004466	0
30	1044.939381107364	1043.025162336203	0
31	1061.935686003457	1045.683183576336	0
32	1061.935858065327	1045.683203588392	0
33	1062.938594699973	1045.823500980713	0
34	1061.935515541038	1045.683172811901	0
35	1062.938375902207	1045.823477356276	0
36	1062.938604339544	1045.823500418256	0
37	1084.998420900332	1048.978834404441	0
38	1084.998462882621	1048.978834898173	0
39	1086.006476853175	1049.100212513442	0
40	1084.998418104096	1048.978828502536	0
41	1086.006361000197	1049.100210948729	0
42	1086.006330279604	1049.100181111926	0
43	1099.164991384532	1050.052013275146	0
44	1099.165214755928	1050.052079253443	0
45	1100.177551924026	1050.111196977126	0
46	1099.165256941897	1050.05203480672	0
47	1100.177580626258	1050.111153720045	0
48	1100.177614537686	1050.111157646859	0
49	1102.204436929184	1050.152531147389	0
50	1102.204257198081	1050.152565052173	0
51	1103.216173211724	1050.140902825709	0
52	1102.204404136583	1050.152549429435	0
53	1103.216032114485	1050.14091599581	0
54	1103.21627774161	1050.14090720277	0
55	1112.360235039285	1049.914102080049	0
56	1112.360605599205	1049.914124981222	0
57	1113.348500804483	1049.692034874747	0
58	1112.361009487643	1049.916695741711	0
59	1113.348743570689	1049.694105042041	0
60	1113.348689757976	1049.692024793234	0
61	1123.320117246124	1047.807995966306	0
62	1123.320154548298	1047.807988797818	0
63	1124.310978396029	1047.595605449632	0
64	1123.320096470175	1047.808007954807	0
65	1124.310720264123	1047.595734896506	0
66	1124.31085302159	1047.595614818893	0
67	1137.222239301647	1044.983290365212	0
68	1137.222287990931	1044.983278508321	0
69	1138.193544305264	1044.702101424593	0
70	1137.221244038269	1044.98397458427	0
71	1138.192821986228	1044.702634671247	0
72	1138.193531296688	1044.702101202928	0
73	1152.886387756188	1040.774838251573	0
74	1152.885189750953	1040.775002532933	0
75	1153.864388539176	1040.512218395353	0
76	1152.886471634622	1040.774819380443	0
77	1153.864635930616	1040.512287463687	0
78	1153.864559302614	1040.512204635131	0
79	1154.828641931525	1040.194606022405	0
80	1153.86473820921	1040.512262869838	0
81	1154.828820922237	1040.194666982234	0
82	1154.828682997714	1040.194592494798	0
83	1163.3175454958	1036.877628320488	0
84	1163.317424744719	1036.877637302134	0
85	1164.270384222711	1036.535715688646	0
86	1163.317627219094	1036.877601591439	0
87	1164.270413990374	1036.535843350392	0
88	1164.27048429653	1036.535709992358	0
89	1179.58369508545	1031.290923024209	0
90	1179.583332571293	1031.290921761412	0
91	1180.514112206868	1030.893195144285	0
92	1179.583823584504	1031.29088344564	0
93	1180.515205625165	1030.893098394909	0
94	1180.515180538163	1030.893104797875	0
95	1182.413980039061	1030.194795229181	0
96	1182.413599348886	1030.194724049272	0
97	1183.339982646213	1029.783265666909	0
98	1182.414280861955	1030.194682194896	0
99	1183.33989077087	1029.783316484442	0
100	1183.339981017689	1029.783266143933	0
101	1184.274285421685	1029.398199414182	0
102	1184.273959267439	1029.3982287463	0
103	1185.217881773966	1029.033895203004	0
104	1184.274553730009	1029.398143603866	0
105	1185.218071126893	1029.033951299735	0
106	1185.218143000233	1029.033881916114	0
107	1187.11811753392	1028.340223009171	0
108	1187.117822805761	1028.340221142814	0
109	1188.089944872232	1028.065040265496	0
110	1187.118707867108	1028.340310689614	0
111	1188.090256345874	1028.065032956235	0
112	1188.090280944042	1028.065031855093	0
113	1196.926472527161	1025.838308940158	0
114	1196.926563002194	1025.838212101506	0
115	1197.873236248916	1025.483001391956	0
116	1196.926471494263	1025.838288242928	0
117	1197.873741428551	1025.483009304004	0
118	1197.873748929773	1025.483011119164	0
119	1205.742611163769	1023.567936113074	0
120	1205.742641403009	1023.567931090655	0
121	1206.705640668207	1023.262943080782	0
122	1205.742681283999	1023.567895959992	0
123	1206.705832310757	1023.26290064924	0
124	1206.705696097816	1023.262933168033	0
125	1225.342023848027	1018.5318202762	0
126	1225.341966406284	1018.531723178141	0
127	1226.313639058149	1018.249796036385	0
128	1225.342054347536	1018.53181255198	0
129	1226.313792467058	1018.249788250039	0
130	1226.313930880766	1018.249757671006	0
131	1243.168388571718	1014.703913920619	0
132	1243.168439343915	1014.703869175644	0
133	1245.121556833988	1014.182680291111	0
134	1243.168439289729	1014.703915232151	0
135	1245.122095963465	1014.182733247256	0
136	1245.12156927924	1014.182675218128	0
137	1246.106791488241	1013.955646071737	0
138	1245.122097138172	1014.182721739434	0
139	1246.107014881395	1013.955676163259	0
140	1246.106890724091	1013.955681328627	0
141	1248.099399297558	1013.574699928565	0
142	1248.094639203463	1013.573338613854	0
143	1249.090731911481	1013.369715187744	0
144	1248.099339889554	1013.574705373621	0
145	1249.091024348116	1013.369812410883	0
146	1249.091543432269	1013.369715417244	0
147	1262.232599502922	1012.229080325115	0
148	1262.232599503914	1012.229080324986	0
149	1263.246487716012	1012.179706283545	0
150	1262.2328220869	1012.228992625877	0
151	1263.24654758504	1012.17966303729	0
152	1263.246336009698	1012.179706555573	0
153	1264.257661144728	1012.097768585033	0
154	1264.256856285515	1012.097524533175	0
155	1265.267054888555	1012.079805670806	0
156	1264.257631522411	1012.097778787898	0
157	1265.267269935712	1012.079841407145	0
158	1265.267233891151	1012.079849912055	0
159	1276.413782999832	1012.444324602351	0
160	1276.414086878147	1012.44431402869	0
161	1277.432213806316	1012.487282264687	0
162	1276.414713827877	1012.44445511348	0
163	1277.433514650776	1012.487557100508	0
164	1277.43365656883	1012.487569374277	0
165	1303.585034262167	1015.927656999718	0
166	1303.584194920819	1015.927576285048	0
167	1304.575475818817	1016.142720861397	0
168	1303.585093059017	1015.927659402251	0
169	1304.575984934765	1016.142746582044	0
170	1304.575982304695	1016.142750125074	0
171	1326.659657755996	1019.373339714125	0
172	1326.659469055169	1019.373319454923	0
173	1327.66234305989	1019.547147413032	0
174	1326.659706223769	1019.373307618503	0
175	1327.662444923334	1019.547130903903	0
176	1327.662499173113	1019.547145727852	0
177	1333.696617776674	1020.570196679671	0
178	1333.696376185789	1020.570155109538	0
179	1334.709927203843	1020.60756582101	0
180	1333.697165984602	1020.570264537076	0
181	1334.710207555876	1020.607510399507	0
182	1334.710494173338	1020.60758007627	0
183	1336.722006882445	1021.291697949173	0
184	1336.667380784151	1021.295108918291	0
185	1336.726936115156	1021.29201521713	0
186	1336.72217025501	1021.291635745719	0
187	1337.826636758542	1020.997848325277	0
188	1337.827154511813	1020.997730782112	0
189	1338.849856819507	1021.041560371629	0
190	1337.82883314851	1020.997703791167	0
191	1338.852093289267	1021.041499705954	0
192	1338.852084299934	1021.041485841928	0
193	1351.020289090657	1020.506826507072	0
194	1351.020345502194	1020.506824132559	0
195	1352.033747723995	1020.443539136999	0
196	1351.020488615758	1020.506814852139	0
