idx	X	Y	component
0	1000	1108.152754362178	0
1	1001.897535968359	1108.791924619686	0
2	1001.89754681677	1108.79192751852	0
3	1009.689557653243	1110.734400715669	0
4	1009.689532444109	1110.73439030178	0
5	1010.617056850056	1111.117747721815	0
6	1009.689634943564	1110.73439125355	0
7	1010.617005921563	1111.117718859994	0
8	1010.61705545551	1111.11774746242	0
9	1019.364336337387	1113.458990727849	0
10	1019.364267127596	1113.459001650393	0
11	1020.332938048578	1113.736628426177	0
12	1019.36457458884	1113.459011081168	0
13	1020.33298293472	1113.736628632911	0
14	1020.332941317855	1113.736629625459	0
15	1022.302731292346	1114.186406768927	0
16	1022.302991662954	1114.186416791688	0
17	1023.2835394213	1114.419016059943	0
18	1022.302767817421	1114.186415857814	0
19	1023.283569803395	1114.419019918602	0
20	1023.283593340992	1114.419005566486	0
21	1051.135376430766	1119.477808231442	0
22	1051.13538974323	1119.477806873345	0
23	1052.125105395812	1119.667542414102	0
24	1051.135410442984	1119.477817302849	0
25	1052.124954062157	1119.667526016834	0
26	1052.124979557801	1119.667531715143	0
27	1058.121637624015	1120.652753412458	0
28	1058.121521491862	1120.652754542928	0
29	1059.124001324651	1120.789744981337	0
30	1058.121610642105	1120.652777825815	0
31	1059.123995413482	1120.789757434637	0
32	1059.124410054417	1120.789771255534	0
33	1069.214459409542	1121.686746512706	0
34	1069.213790670017	1121.68659156796	0
35	1070.227016207052	1121.719522035021	0
36	1069.214371606318	1121.686755874146	0
37	1070.227240657556	1121.719570547872	0
38	1070.227662584379	1121.719527765229	0
39	1080.359720732554	1121.411539166372	0
40	1080.359964449871	1121.411516306083	0
41	1081.368247988366	1121.366178721614	0
42	1080.359722343202	1121.411536191737	0
43	1081.368395759539	1121.366201336496	0
44	1081.368359459709	1121.366169846794	0
45	1089.705389350847	1120.495090249113	0
46	1089.702460278464	1120.495300289622	0
47	1090.039144815029	1120.472592009022	0
48	1090.039065233078	1120.472600210468	0
49	1111.62300963351	1120.202062514616	0
50	1111.623354473156	1120.202018594736	0
51	1112.628570245672	1120.100776555516	0
52	1111.622971684539	1120.202077987074	0
53	1112.629131504483	1120.101099820218	0
54	1112.628536712314	1120.100794503008	0
55	1121.692331538013	1119.03084433881	0
56	1121.69233153901	1119.030844338732	0
57	1122.699125451936	1118.917080303278	0
58	1121.692320218846	1119.030907466446	0
59	1122.699102353165	1118.917146030039	0
60	1122.699088580858	1118.917086356172	0
61	1124.702075054255	1118.590994263391	0
62	1124.702099858072	1118.590969067807	0
63	1125.70493954755	1118.436870838677	0
64	1124.702348852022	1118.590969520613	0
65	1125.704968781387	1118.436897094942	0
66	1125.704919466383	1118.436901474695	0
67	1126.706122753902	1118.271625970941	0
68	1126.706189167701	1118.271611382688	0
69	1127.699873960811	1118.077644668248	0
70	1126.706694675701	1118.271725821542	0
71	1127.700062147209	1118.077722101489	0
72	1127.699818819178	1118.077651534069	0
73	1138.515419242667	1115.345278098566	0
74	1138.515404001889	1115.345280666904	0
75	1139.482878655697	1115.046107319657	0
76	1138.515994338243	1115.345361157086	0
77	1139.482878198555	1115.04629550119	0
78	1139.482877265581	1115.046297005847	0
79	1145.170495196512	1112.90384229709	0
80	1145.170367857864	1112.903811922455	0
81	1146.121332897379	1112.549245752714	0
82	1145.170412613754	1112.903856055299	0
83	1146.121150094443	1112.54936659319	0
84	1146.121392209489	1112.54922652405	0
85	1148.997584055644	1111.584455012822	0
86	1148.997422840337	1111.584459344968	0
87	1149.966330004511	1111.290859716855	0
88	1148.997539959894	1111.584463322983	0
89	1149.966310040168	1111.290844618538	0
90	1149.966192335152	1111.290792582924	0
91	1152.803881347199	1110.211471952373	0
92	1152.803972252859	1110.211433111569	0
93	1153.738439508853	1109.820721863867	0
94	1152.80399719272	1110.211429170911	0
95	1153.738253337958	1109.820783672131	0
96	1153.738131933129	1109.820797911322	0
97	1154.691776139143	1109.474543407877	0
98	1154.691876457438	1109.474521932034	0
99	1155.638310742356	1109.117338220851	0
100	1154.692054094022	1109.474483656764	0
101	1155.638586077019	1109.117320914183	0
102	1155.638640695265	1109.117320024615	0
103	1163.491708311453	1107.105998303961	0
104	1163.491650902902	1107.105982301574	0
105	1164.422737650643	1106.722040710086	0
106	1163.491835569038	1107.106165279104	0
107	1164.422719423909	1106.722047589349	0
108	1164.422719163555	1106.722030127182	0
109	1191.527499186166	1098.429805295508	0
110	1191.527428425451	1098.429811013455	0
111	1192.475729767061	1098.085449897846	0
112	1191.527300150079	1098.429885806219	0
113	1192.475769486973	1098.085480028723	0
114	1192.475740560991	1098.085488791386	0
115	1198.190601368052	1096.040321818822	0
116	1198.190668837552	1096.040302193635	0
117	1199.130357422354	1095.660883149963	0
118	1198.190680839059	1096.040297418086	0
119	1199.13074997006	1095.660798947109	0
120	1199.13046287199	1095.660852031859	0
121	1202.906370169675	1094.203041838012	0
122	1202.906377341288	1094.203036445226	0
123	1203.852890509136	1093.855727331824	0
124	1202.906059854703	1094.203119734261	0
125	1203.853071637854	1093.855835698327	0
126	1203.852964870391	1093.855698375984	0
127	1206.647772085678	1092.655890217592	0
128	1206.647876743077	1092.655843243031	0
129	1207.624803303964	1092.386334687736	0
130	1206.648037575047	1092.655829845948	0
131	1207.62495160685	1092.386301635758	0
132	1207.624942983045	1092.386286273977	0
133	1212.396499077311	1090.693384306694	0
134	1212.396467677017	1090.693396273868	0
135	1213.328625198704	1090.302873960836	0
136	1212.396494916701	1090.693498048107	0
137	1213.328540669262	1090.302972837751	0
138	1213.32841825162	1090.302955594414	0
139	1216.183622561341	1089.250038813999	0
140	1216.183896654218	1089.24995512328	0
141	1217.140452091387	1088.911193869081	0
142	1216.183761292903	1089.249989265332	0
143	1217.140826183662	1088.911022789451	0
144	1217.140826182955	1088.911022790159	0
145	1235.445841350761	1082.942447733542	0
146	1235.445708133179	1082.942453452558	0
147	1236.395772399072	1082.605091045833	0
148	1235.445834680637	1082.942473320789	0
149	1236.396555857484	1082.604961436639	0
150	1236.396218648963	1082.605027942713	0
151	1240.363690170718	1081.759944222063	0
152	1240.363658596207	1081.759936092791	0
153	1241.344961518355	1081.491038218898	0
154	1240.363776117636	1081.759906160245	0
155	1241.345114407102	1081.491013700486	0
156	1241.345126972175	1081.491018230136	0
157	1244.353254569591	1080.923644283532	0
158	1244.353248773946	1080.923607691636	0
159	1245.3273990392	1080.650460267462	0
160	1244.354584314562	1080.923551060388	0
161	1245.33117506706	1080.649638794606	0
162	1245.327773759898	1080.650350268789	0
163	1247.567191339271	1079.9987761482	0
164	1247.578731560522	1079.996647366943	0
165	1247.709698810923	1079.973620583486	0
166	1247.709418235995	1079.973660256187	0
167	1250.034996604598	1079.771284510032	0
168	1250.034550061869	1079.7713220027	0
169	1251.021614463137	1079.493694600372	0
170	1250.031951194064	1079.771438308334	0
171	1251.019801534611	1079.493941363629	0
172	1251.019425627942	1079.494022443435	0
173	1270.556191272281	1073.940884510272	0
174	1270.556595396842	1073.940736825883	0
175	1271.54636986495	1073.725588156453	0
176	1270.556789329051	1073.940810178918	0
177	1271.546332363646	1073.725647973743	0
178	1271.546619954942	1073.725604403711	0
179	1272.530123386145	1073.469630506399	0
180	1272.530408393777	1073.46952195822	0
181	1273.527898428914	1073.289298304608	0
182	1272.530200837182	1073.469622499132	0
183	1273.527286393645	1073.289452448559	0
184	1273.527965376227	1073.289293479972	0
