idx	X	Y	component
0	1000	1126.770548776496	0
1	1001.999637432318	1126.706856962292	0
2	1001.999651945721	1126.706856330803	0
3	1003.001268554147	1126.691295782784	0
4	1003.001271684707	1126.691296040025	0
5	1058.113431207109	1124.830847962832	0
6	1058.113229550495	1124.830860159078	0
7	1059.076291123512	1124.553867073968	0
8	1058.113431208105	1124.830847962735	0
9	1059.076468954734	1124.553847859787	0
10	1059.076475153664	1124.553847623548	0
11	1069.908874737204	1122.458962138623	0
12	1069.908845538723	1122.458964225588	0
13	1070.873681377377	1122.184550093574	0
14	1069.909060573803	1122.458964624858	0
15	1070.87383001844	1122.18455840804	0
16	1070.873672497743	1122.184552620132	0
17	1579.790380320453	1127.987819367654	0
18	1579.790371906788	1127.987808791724	0
19	1580.734193747235	1128.32990921712	0
20	1579.790380321439	1127.987819367485	0
21	1580.734100653734	1128.329888445904	0
22	1580.734201546609	1128.329909196588	0
23	2560.050926964562	1115.496044995057	0
24	2560.050787012783	1115.496030846237	0
25	2560.945672247262	1115.952011799754	0
26	2560.05091535013	1115.49604919574	0
27	2560.945614597236	1115.951987757654	0
28	2560.945610120268	1115.951983293862	0
29	2744.906540101117	1136.863041799154	0
30	2744.906455076609	1136.863061746402	0
31	2745.873429362633	1137.138815709027	0
32	2744.906583684202	1136.863041629942	0
33	2745.873396851708	1137.13880176617	0
34	2745.873290693463	1137.138815060145	0
35	3123.324282410754	1119.703621338519	0
36	3123.323537620437	1119.703634908868	0
37	3124.323809299762	1119.597963510709	0
38	3123.324246734272	1119.70362094708	0
39	3124.323772171513	1119.597970548705	0
40	3124.323809300762	1119.597963510727	0
41	3470.972982545451	1125.633664727497	0
42	3470.972932794298	1125.633646837356	0
43	3471.96760504075	1125.797113175975	0
44	3470.972950274526	1125.63366635679	0
45	3471.967385733481	1125.797136117458	0
46	3471.967786417598	1125.797104256519	0
47	3756.661144122627	1111.208760621023	0
48	3756.661144121975	1111.208760620266	0
49	3757.655036740718	1111.401127200998	0
50	3756.661162457426	1111.208836771372	0
51	3757.655145398819	1111.401163943111	0
52	3757.655082087801	1111.401157882904	0
53	3855.140361563877	1125.034435233616	0
54	3855.139968784202	1125.034218770177	0
55	3856.051794753685	1125.487452264736	0
56	3855.140329772538	1125.034409982947	0
57	3856.052050749195	1125.487418395686	0
58	3856.051980026117	1125.487474923507	0
59	3936.107067262645	1135.462799462912	0
60	3936.106645739213	1135.462932918902	0
61	3937.129667050428	1135.50821524095	0
62	3936.106880524834	1135.46277488729	0
63	3937.129523435866	1135.508048124802	0
64	3937.129803782836	1135.508156811273	0
65	4270.882721804237	1116.850361173367	0
66	4270.890630577051	1116.849955898141	0
67	4271.008901566399	1116.841434677724	0
68	4271.008477789643	1116.841479247812	0
69	4371.30529795992	1107.299864971379	0
70	4371.304367687284	1107.300401606652	0
71	4373.470817320519	1107.006209299568	0
72	4371.304538924035	1107.300125374556	0
73	4373.477348574232	1107.005051590976	0
74	4373.474805297074	1107.005356640897	0
75	4374.571772575959	1106.842554068175	0
76	4374.56982688239	1106.842826556432	0
77	4375.630029217024	1106.75806552932	0
78	4374.572357171988	1106.842672644045	0
79	4375.628166196112	1106.758375733065	0
80	4375.627960820741	1106.758464939538	0
81	4580.74929100544	1064.976189479871	0
82	4580.694781177471	1064.987683046087	0
83	4787.756431787985	1000.072391019301	0
84	4580.752406756552	1064.975786985319	0
85	4716.672449883185	1030.166370961299	0
86	4787.751502527888	1000.071148720741	0
87	4786.725319954975	1000.000759799874	0
88	4787.750057420113	1000.074686087397	0
89	4786.729510216132	1000.000537862913	0
90	4786.730550569357	1000	0
91	4716.694458215067	1030.160450823798	0
92	4716.672280721224	1030.16593027121	0
93	5251.588743916202	1129.53638251023	0
94	5251.584457721594	1129.54372495637	0
95	5251.591223230375	1129.534915484429	0
96	5251.590869682183	1129.536631081113	0
97	5766.34107571496	1131.71296833179	0
98	5766.344437245308	1131.712991970032	0
99	5767.40774285154	1131.704191649888	0
100	5766.344336475962	1131.713556183868	0
101	5767.405860898201	1131.704624332208	0
102	5767.406015365937	1131.704534266539	0
103	5791.492332055255	1128.53580746984	0
104	5791.49084513344	1128.537787586875	0
105	5793.552068493505	1129.321122137595	0
106	5791.506324441929	1128.535036964107	0
107	5793.425271755729	1128.164458928157	0
108	5793.536482453874	1129.330983517135	0
109	5793.575877803526	1129.306484824609	0
110	5793.554905173298	1129.318152662782	0
111	5793.436711280658	1128.158455745563	0
112	5793.435441922714	1128.163482008865	0
113	5814.451168345376	1121.496772911887	0
114	5814.452302503126	1121.49663264518	0
115	5815.404233734766	1121.123314775842	0
116	5814.454092012117	1121.496709483308	0
117	5815.405820760054	1121.123268379419	0
118	5815.404618501825	1121.123340117258	0
119	6174.511005437987	1122.174262036649	0
120	6174.51157995355	1122.174259050178	0
121	6253.861756464152	1122.61542068841	0
122	6253.863812044639	1122.615428613753	0
123	6254.895623832498	1122.634934949995	0
124	6253.862794478229	1122.615421244466	0
125	6254.89573262366	1122.63496169374	0
126	6254.896837139345	1122.634935711543	0
127	6599.969227270654	1121.931185016926	0
128	6599.969390326752	1121.931185138815	0
129	6600.999038579769	1121.912579591777	0
130	6599.969148121865	1121.931180820348	0
131	6600.998808319631	1121.912574261964	0
132	6600.998573511972	1121.91257570277	0
133	6634.804908257088	1121.520126805085	0
134	6634.804753493788	1121.520125820382	0
135	6636.850041533269	1121.519185400478	0
136	6634.804908256089	1121.520126805051	0
137	6636.850277517235	1121.519194947628	0
138	6636.850219250115	1121.519194913879	0
139	6660.304073927258	1121.888877376834	0
140	6660.303932173368	1121.88887788784	0
141	6661.317053813823	1121.89202712162	0
142	6660.303945963529	1121.888876426066	0
143	6661.316768363432	1121.891996327631	0
144	6661.316818830618	1121.891997501598	0
145	6993.030799462525	1121.114267965637	0
146	6993.030745700448	1121.114257479815	0
147	6994.043540229028	1121.034044289437	0
148	6993.03077055829	1121.114267996648	0
149	6994.043937656227	1121.034044857085	0
150	6994.044004835359	1121.034046652309	0
151	7003.154379135537	1120.66505490699	0
152	7003.156751260674	1120.665028036934	0
153	7004.165186445628	1120.601973290231	0
154	7003.155328814919	1120.665054679317	0
155	7004.164994667293	1120.601977712707	0
156	7004.165149852732	1120.601981412502	0
157	7213.190998471289	1124.516300454578	0
158	7213.190948266037	1124.516316825398	0
159	7214.192660283844	1124.397037463637	0
160	7213.19099461499	1124.51629680099	0
161	7214.192753010305	1124.397055306961	0
162	7214.192634291227	1124.397040558233	0
163	7368.151461352264	1115.414538735698	0
164	7368.151650147749	1115.414559033269	0
165	7369.110416214999	1115.109007156028	0
166	7368.151577396577	1115.414539033166	0
167	7369.110567596981	1115.109037156313	0
168	7369.11059800788	1115.109038483823	0
169	7522.883253761431	1120.984816821552	0
170	7522.883253762376	1120.984816821226	0
171	7523.814296052656	1120.608716808553	0
172	7522.883398806339	1120.984848901489	0
173	7523.814384399847	1120.608703414371	0
174	7523.814433509154	1120.608709240484	0
175	7837.300281677342	1120.467428790013	0
176	7837.30029319468	1120.467428639258	0
177	7838.278428025291	1120.695238290263	0
178	7837.300530724821	1120.467403452673	0
179	7838.278506131163	1120.695243376215	0
180	7838.278412396054	1120.695235426982	0
181	8344.306935110017	1121.401323541576	0
182	8344.306948510526	1121.401325448239	0
183	8345.294278309497	1121.222103282614	0
