idx	X	Y	component
0	1000	1005.833426062701	0
1	1550.000457335985	1005.350030594123	0
2	1550.00045730957	1005.350030595147	0
3	1550.999587004568	1005.308267377837	0
4	1550.00045729492	1005.350030595237	0
5	1550.999587012759	1005.308267377961	0
6	1550.999586982679	1005.308267378476	0
7	1881.999538336994	1006.056384743204	0
8	1881.999538341264	1006.05638474365	0
9	1882.998722326958	1006.096849387277	0
10	1881.999538309316	1006.056384743812	0
11	1882.998722361554	1006.096849387928	0
12	1882.998722349991	1006.096849387442	0
13	2139.999191333489	1006.487221029129	0
14	2139.999191304103	1006.48722102903	0
15	2140.998306871256	1006.445109248338	0
16	2139.999191303462	1006.487221035977	0
17	2140.998306864955	1006.445109247025	0
18	2140.998306836507	1006.445109248313	0
19	4903.002005813807	1006.581089903852	0
20	4903.002005814803	1006.581089903585	0
21	4904.000710777404	1006.631985438329	0
22	4903.002005798364	1006.581089904261	0
23	4904.000710776344	1006.63198543781	0
24	4904.000710771354	1006.631985437713	0
25	5799.978908892942	1000	0
