idx	X	Y	component
0	1000	1012.57542112109	0
1	1162.808716126951	1003.632755513452	0
2	1162.808712227912	1003.632755174536	0
3	1163.802610265557	1003.745494324468	0
4	1162.808711383566	1003.632755216076	0
5	1163.80262844603	1003.745495506796	0
6	1163.802611381674	1003.745494354211	0
7	1177.809468556104	1003.862930543268	0
8	1177.80947324112	1003.862930659086	0
9	1178.809827541943	1003.840148895549	0
10	1177.809515692157	1003.86293185402	0
11	1178.809818164293	1003.840145610655	0
12	1178.809806864177	1003.840149121188	0
13	1230.75499209116	1006.842222596504	0
14	1230.754234249826	1006.842125284012	0
15	1231.75301773856	1006.797647027857	0
16	1230.755610650815	1006.842246674626	0
17	1231.753697784521	1006.797697655352	0
18	1231.753699385936	1006.797697744775	0
19	1239.796496407759	1007.616328583028	0
20	1239.779766617748	1007.623368135643	0
21	1239.803971563492	1007.615788889534	0
22	1239.797738841024	1007.615829454255	0
23	1240.773523188223	1007.213348934393	0
24	1240.772124282242	1007.213923570191	0
25	1241.756853711992	1007.002705523586	0
26	1240.778280109281	1007.21143503045	0
27	1241.758559387526	1007.002209854103	0
28	1241.756867322602	1007.0027041885	0
29	1252.769674954679	1006.532432346382	0
30	1252.769692096454	1006.532432531351	0
31	1253.764529068343	1006.423390035811	0
32	1252.770004175086	1006.532420642361	0
33	1253.76456613303	1006.423383177782	0
34	1253.76454072592	1006.42338966343	0
35	1382.821597129956	1009.930141301248	0
36	1382.821582387816	1009.930141403457	0
37	1383.818388724204	1009.828108955134	0
38	1382.821567201308	1009.930160614854	0
39	1383.818348091495	1009.828112068345	0
40	1383.818380634787	1009.828111482054	0
41	1406.82520001658	1008.66593130679	0
42	1406.825081782021	1008.665935976105	0
43	1407.812446027975	1008.521992584281	0
44	1406.825019522814	1008.66594263894	0
45	1407.812448599194	1008.521984001312	0
46	1407.812446473475	1008.521985027689	0
47	1445.432724935538	1006.101251477751	0
48	1445.435505728514	1006.101129285685	0
49	1445.798875896885	1006.085744879871	0
50	1445.80146945858	1006.085635038831	0
51	1752.635313467189	1009.133645615524	0
52	1752.635286615629	1009.133644995871	0
53	1753.633853062653	1009.186100513371	0
54	1752.635299341741	1009.133647492832	0
55	1753.634133424903	1009.186112409241	0
56	1753.63384245637	1009.186100157984	0
57	1860.601447652908	1004.206071975884	0
58	1860.60145075931	1004.206071332509	0
59	1861.598101769041	1004.296362450426	0
60	1860.601466939102	1004.206068529545	0
61	1861.598104147921	1004.296359923935	0
62	1861.598097119445	1004.296362071748	0
63	1924.575845940074	1007.229515092616	0
64	1924.575837771145	1007.2295090166	0
65	1925.569727067147	1007.115087390607	0
66	1924.575851982339	1007.229515032817	0
67	1925.569754156178	1007.115089790642	0
68	1925.569748951566	1007.115088771723	0
69	1927.559569478156	1006.905077545182	0
70	1927.55957084062	1006.905077259291	0
71	1928.556203145824	1006.819639604565	0
72	1927.559550511126	1006.905079007561	0
73	1928.556201007375	1006.819640398322	0
74	1928.556201322241	1006.819640343395	0
75	2299.645314038475	1002.933259465391	0
76	2299.645314037502	1002.933259465163	0
77	2300.638459541563	1003.052673841086	0
78	2299.645313320962	1002.933260011216	0
79	2300.63848327853	1003.052677149215	0
80	2300.638478010879	1003.052676439558	0
81	2301.630070900107	1003.186312867247	0
82	2301.630072686042	1003.18631314449	0
83	2302.61382995607	1003.371773530834	0
84	2301.630079839689	1003.186311528488	0
85	2302.613816478492	1003.371776606121	0
86	2302.613838016776	1003.371774016758	0
87	2307.603133543317	1003.760212666431	0
88	2307.603133542319	1003.760212666363	0
89	2308.594415025882	1003.894808771628	0
90	2307.603147012324	1003.760212934147	0
91	2308.594419570957	1003.894812001446	0
92	2308.594414463247	1003.894808778414	0
93	2345.592261730229	1005.191976913622	0
94	2345.592265742195	1005.191977055803	0
95	2346.582756806696	1005.332895468985	0
96	2345.592262090104	1005.191974442055	0
97	2346.582786006592	1005.332894743155	0
98	2346.582756086184	1005.332895122228	0
99	2347.568370198791	1005.505493541254	0
100	2347.56837144656	1005.505493743651	0
101	2348.561537761127	1005.626569373308	0
102	2347.568374312132	1005.505494678752	0
