idx	X	Y	component
0	1000	1019.502257130154	0
1	1003.962439947861	1018.941899488501	0
2	1003.962437743721	1018.941899967227	0
3	1004.938352463629	1018.721194817541	0
4	1003.962436998521	1018.941899395535	0
5	1004.938346109829	1018.721195846191	0
6	1004.938360524861	1018.721194562706	0
7	1020.881052266451	1017.258265535945	0
8	1020.881049960545	1017.258265782482	0
9	1021.867764111056	1017.09347168506	0
10	1020.881053327109	1017.25826556818	0
11	1021.867762559212	1017.093472334256	0
12	1021.867764125874	1017.093472118398	0
13	1060.787220604537	1014.194627519388	0
14	1060.787206162971	1014.194629575702	0
15	1061.771672109146	1014.014447094296	0
16	1060.787218552832	1014.194627671938	0
17	1061.771749449065	1014.014492994364	0
18	1061.771756838404	1014.014492524302	0
19	1133.832860518353	1014.158034040027	0
20	1133.832870608862	1014.15803386397	0
21	1134.827256368329	1014.275686092258	0
22	1133.832905087275	1014.158044706902	0
23	1134.827290658148	1014.275672555681	0
24	1134.827290657355	1014.275672555071	0
25	1144.837957300501	1014.026138203201	0
26	1144.837959808028	1014.026138567304	0
27	1145.835575162359	1013.942019530019	0
28	1144.837955157214	1014.026135507622	0
29	1145.83557523849	1013.942016439797	0
30	1145.835575239486	1013.942016439703	0
31	1148.799866231491	1013.454675830814	0
32	1148.799877660654	1013.454674373125	0
33	1149.786409337483	1013.285811672711	0
34	1148.799871479456	1013.454674221093	0
35	1149.786403548971	1013.285811824907	0
36	1149.78640493603	1013.285812289856	0
37	1164.741908954665	1011.94891947395	0
38	1164.741897701064	1011.948920782208	0
39	1165.722149322577	1011.745688606214	0
40	1164.741906544118	1011.948920051367	0
41	1165.722156448972	1011.745686765836	0
42	1165.722153531068	1011.745688297996	0
43	1193.66637410529	1009.551880031003	0
44	1193.666371524807	1009.551878888726	0
45	1194.660996912234	1009.66580910368	0
46	1193.666355531375	1009.551835001472	0
47	1194.660983471915	1009.665816342891	0
48	1194.661010788511	1009.665809133483	0
49	1327.708327337834	1006.268622739726	0
50	1327.708332655446	1006.268624337752	0
51	1328.692937049597	1006.088539500169	0
52	1327.708318010865	1006.268627653616	0
53	1328.692950162554	1006.0885355415	0
54	1328.692933691029	1006.08853858039	0
55	1358.717928359606	1005.549250431582	0
56	1358.717930776299	1005.549250086472	0
57	1359.717111806697	1005.486501728078	0
58	1358.717920794007	1005.549258586533	0
59	1359.717132150372	1005.486533992409	0
