idx	X	Y	component
0	1000	1024.079769043955	0
1	1146.331608762491	1005.712196188243	0
2	1146.331601688026	1005.712195486265	0
3	1147.292065458026	1005.99315061578	0
4	1146.331629113809	1005.712193158332	0
5	1147.292071182185	1005.993139724658	0
6	1147.292092815522	1005.993148919385	0
7	1277.013343308845	1018.6811340088	0
8	1277.013506209565	1018.681171663938	0
9	1278.006222851367	1018.818064965575	0
10	1277.013377036443	1018.681132862273	0
11	1278.006234503706	1018.818060941715	0
12	1278.006234502852	1018.818060942235	0
13	1303.066182273944	1026.079930975856	0
14	1303.066180973831	1026.079926886328	0
15	1303.964746589391	1026.526338021482	0
16	1303.066186261606	1026.079929597626	0
17	1303.964701747226	1026.526329340567	0
18	1303.964751680334	1026.52633998823	0
19	1319.454450275395	1030.788439891943	0
20	1319.454450274408	1030.788439891778	0
21	1320.45350588753	1030.878208197151	0
22	1319.454383517632	1030.788477351423	0
23	1320.453474790534	1030.878214708372	0
24	1320.453492797016	1030.878208565468	0
25	1563.277756987867	1037.461132893551	0
26	1563.27775281341	1037.461140593716	0
27	1564.252977898875	1037.220320314804	0
28	1563.277881915678	1037.461236839046	0
29	1564.252926113197	1037.220344831885	0
30	1564.252991928918	1037.22031707266	0
31	1591.534681405723	1030.355986203449	0
32	1591.534702641605	1030.355991880238	0
33	1592.497550304317	1030.074672310567	0
34	1591.534973152198	1030.355814863136	0
35	1592.497429717687	1030.074622066929	0
36	1592.497555155267	1030.074674298984	0
37	1808.077300592331	1020.926265405402	0
38	1808.07727280609	1020.926262398684	0
39	1809.059709358012	1020.717236391326	0
40	1808.07741475083	1020.92631035764	0
41	1809.060048966545	1020.71722260628	0
42	1809.059730352379	1020.717246396431	0
43	1978.047734253563	1002.721205861283	0
44	1978.047732068524	1002.721204241954	0
45	1979.029241431467	1002.931631112567	0
46	1978.047812298148	1002.721120680318	0
47	1979.029229174118	1002.931596148339	0
48	1979.029182598162	1002.931622428568	0
49	2025.552452528489	1011.39704748753	0
50	2025.552474556992	1011.397056574271	0
51	2026.460277209862	1011.826441699849	0
52	2025.552643232773	1011.396941794167	0
53	2026.460404986154	1011.826484981631	0
54	2026.46029025745	1011.826447782358	0
55	2068.866904767048	1020.475348823856	0
56	2068.867018864335	1020.475201552841	0
57	2069.871451720947	1020.464221675185	0
58	2068.866961370203	1020.475378879729	0
59	2069.871476074585	1020.464303178115	0
60	2069.871500426694	1020.464224133574	0
61	2137.074700504744	1015.105955794157	0
62	2137.074708815114	1015.105957816293	0
63	2138.049251319514	1015.343125258497	0
64	2137.074812190781	1015.105912902616	0
65	2138.049305537481	1015.343120316346	0
66	2138.049221533659	1015.343124781293	0
67	2400.963894992814	1035.616296631962	0
68	2400.963912078934	1035.616291183729	0
69	2401.828076357682	1036.123096698373	0
70	2400.964840827011	1035.616059060497	0
71	2401.828002911804	1036.123132140272	0
72	2401.828079765524	1036.123096737779	0
73	2588.072311032736	1047.901862488264	0
74	2588.072384347302	1047.901894381784	0
75	2589.074905326606	1047.911625006535	0
76	2588.0723345938	1047.901866377855	0
77	2589.074882765531	1047.911614386623	0
78	2589.074900804151	1047.911605739362	0
79	2874.455983402431	1010.32572218391	0
80	2874.381467549149	1010.34609699801	0
81	2874.512947684072	1010.298571101372	0
82	2874.455083991745	1010.321049001267	0
83	2874.41704039871	1010.203062033931	0
84	2874.416113169537	1010.199337778815	0
85	2874.482750469631	1010.729282652858	0
86	2874.483235121197	1010.73463312804	0
87	3097.837298737439	1018.439996440565	0
88	3097.837277295945	1018.439999432841	0
89	3098.541108517145	1019.152981628418	0
90	3097.837702834307	1018.439920723904	0
91	3098.541194560344	1019.152997379004	0
92	3098.541157969243	1019.152976693927	0
93	3442.944724336982	1001.968004623867	0
94	3442.944692785455	1001.968006175099	0
95	3443.809936946967	1002.472192191825	0
96	3442.944842910406	1001.967967094278	0
97	3443.810005339099	1002.472196215694	0
98	3443.809943083359	1002.472190133674	0
99	3581.243850518143	1025.597028439738	0
100	3581.243854074864	1025.597028422015	0
101	3581.970442117905	1026.286573042205	0
102	3581.243917853466	1025.597037920088	0
103	3581.970485738621	1026.286532749919	0
104	3581.97041425436	1026.286572395178	0
105	4156.329920939535	1026.190662146922	0
106	4156.329920711504	1026.190662718897	0
107	4156.941994088985	1025.400228275336	0
108	4156.33008890312	1026.190656288579	0
109	4156.942805989648	1025.400248713225	0
110	4156.942031016956	1025.400225944694	0
111	4776.842902199873	1064.224636522718	0
112	4776.842818491685	1064.224622970452	0
113	4861.27917750243	1041.98781734186	0
114	4861.27907804371	1041.987750096832	0
115	4862.054727227085	1041.353890188766	0
116	4861.279166067483	1041.987821755038	0
117	4862.05478859382	1041.353866240035	0
118	4862.054724811172	1041.35389414471	0
119	4948.452311853766	1015.142796810013	0
120	4948.452423208888	1015.14283009425	0
121	4949.275813428063	1014.572625371136	0
122	4948.452317730546	1015.142798479913	0
123	4949.275794940121	1014.572580573485	0
124	4949.275813427607	1014.572625370245	0
125	5997.707644011487	1036.289028176378	0
126	5997.707466379466	1036.289028866068	0
127	5998.55125900423	1035.748882888502	0
128	5997.707682931748	1036.289040328218	0
129	5998.551554595822	1035.748932303758	0
130	5998.551259005229	1035.748882888498	0
131	6014.680262147565	1030.21226353058	0
132	6014.680204221099	1030.212276616407	0
133	6015.657171755433	1029.986349456044	0
134	6014.680453354893	1030.212230820023	0
135	6015.655289932611	1029.986357663921	0
136	6015.657215473368	1029.986351770549	0
137	6090.622243657656	1015.715587021285	0
138	6090.622232090293	1015.715589223547	0
139	6091.616416431793	1015.839255654284	0
140	6090.62219794684	1015.715420889461	0
141	6091.616374707253	1015.839244294414	0
142	6091.616432137549	1015.839256525335	0
143	6144.751661759135	1019.188474233086	0
144	6144.75173097127	1019.188481727708	0
145	6145.724606088269	1018.947051753996	0
146	6144.751701473855	1019.188493187045	0
147	6145.724701268085	1018.947045471612	0
148	6145.724685737277	1018.947046813702	0
149	6601.227948678558	1042.997506959608	0
150	6601.22795304479	1042.997508793527	0
151	6602.134640220695	1042.573279688371	0
152	6601.228040219359	1042.997521873715	0
153	6602.134678164322	1042.573301222227	0
154	6602.134683696891	1042.573279414705	0
155	6686.099660758878	1027.374646779552	0
156	6686.099651575025	1027.374650428299	0
157	6686.961089116895	1026.862210854232	0
158	6686.099647166621	1027.37465478082	0
159	6686.961272607998	1026.862176906891	0
160	6686.961119313951	1026.862198331811	0
161	7236.582592071725	1055.455001491385	0
162	7236.582574585338	1055.455003479771	0
163	7237.535303398296	1055.144376733105	0
164	7236.582670217049	1055.455119214326	0
165	7237.53527414656	1055.144369830601	0
166	7237.535291231964	1055.144376047554	0
167	7610.929619002471	1037.379948472614	0
168	7610.929643398737	1037.379936921624	0
169	7611.821184412598	1036.902224073988	0
170	7610.924045652203	1037.38417291576	0
171	7611.818886694092	1036.904179616969	0
172	7611.818865048622	1036.904191197684	0
173	7612.674886778755	1036.191157312349	0
174	7612.664684170094	1036.195114151421	0
175	7612.689191587247	1036.181081815775	0
176	7612.688412861071	1036.182239995631	0
177	7687.527346006581	1019.993935368495	0
178	7687.52729848444	1019.993943550019	0
179	7688.486595760071	1019.688441730949	0
180	7687.527282434163	1019.993959257948	0
181	7688.487691114145	1019.68800789018	0
182	7688.486726982823	1019.688435199133	0
